"Tea, Samosa, Sandwich"
"Samosa, Tea, Sandwich, Noodles"
"Samosa, Cold Coffee, French Fries"
"Pizza, Maggie,Samosa,Tea"
"Maggie,Cold Coffee,Sandwich"
"Samosa,Cold Coffee,French Fries"
"Maggie,Cold Coffee,Noodles"
"Maggie,Samosa,Cold Coffee,Sandwich"
"Pizza,Maggie,Samosa,Cold Coffee"
"Samosa,Tea"
"Black Tea,Manchurian,Sandwich,Noodles"
"Black Tea,Manchurian,Sandwich,Noodles"
"Black Tea,Fried Maggie,French Fries"
"Samosa,Black Tea,Manchurian"
"Samosa,Fried Maggie,Sandwich"
"Black Tea,Fried Maggie,Sandwich"
"Samosa,Fried Maggie,French Fries"
"Samosa,Black Tea,Fried Maggie"
"Samosa,Black Tea,Fried Maggie"
"Cold Coffee,Tea,Black Tea,Noodles"